Município;AIH_aprovadas
110001 ALTA FLORESTA D'OESTE;16
110002 ARIQUEMES;21
110003 CABIXI;2
110004 CACOAL;82
110005 CEREJEIRAS;13
110006 COLORADO DO OESTE;4
110008 COSTA MARQUES;6
110009 ESPIGAO D'OESTE;13
110010 GUAJARA-MIRIM;10
110011 JARU;4
110012 JI-PARANA;210
110013 MACHADINHO D'OESTE;9
110014 NOVA BRASILANDIA D'OESTE;17
110015 OURO PRETO DO OESTE;19
110018 PIMENTA BUENO;31
110020 PORTO VELHO;382
110025 PRESIDENTE MEDICI;4
110028 ROLIM DE MOURA;77
110030 VILHENA;140
110032 SAO MIGUEL DO GUAPORE;12
110033 NOVA MAMORE;6
110034 ALVORADA D'OESTE;11
110040 ALTO PARAISO;2
110050 NOVO HORIZONTE DO OESTE;8
110070 CAMPO NOVO DE RONDONIA;8
110120 MINISTRO ANDREAZZA;6
110140 MONTE NEGRO;11
110149 SAO FRANCISCO DO GUAPORE;12
110150 SERINGUEIRAS;1
110160 THEOBROMA;3
120010 BRASILEIA;27
120020 CRUZEIRO DO SUL;77
120030 FEIJO;4
120038 PLACIDO DE CASTRO;1
120039 PORTO WALTER;1
120040 RIO BRANCO;322
120043 SANTA ROSA DO PURUS;1
120050 SENA MADUREIRA;15
120060 TARAUACA;10
120070 XAPURI;3
130008 ANAMA;2
130010 ANORI;2
130014 APUI;1
130030 AUTAZES;4
130040 BARCELOS;5
130050 BARREIRINHA;6
130060 BENJAMIN CONSTANT;1
130068 BOA VISTA DO RAMOS;1
130070 BOCA DO ACRE;9
130080 BORBA;8
130100 CARAUARI;2
130110 CAREIRO;1
130120 COARI;11
130130 CODAJAS;5
130140 EIRUNEPE;3
130160 FONTE BOA;3
130170 HUMAITA;17
130180 IPIXUNA;3
130190 ITACOATIARA;39
130195 ITAMARATI;1
130200 ITAPIRANGA;5
130220 JURUA;3
130240 LABREA;5
130250 MANACAPURU;2
130260 MANAUS;1377
130270 MANICORE;10
130280 MARAA;4
130290 MAUES;21
130300 NHAMUNDA;4
130330 NOVO ARIPUANA;3
130340 PARINTINS;24
130353 PRESIDENTE FIGUEIREDO;1
130360 SANTA ISABEL DO RIO NEGRO;1
130370 SANTO ANTONIO DO ICA;1
130380 SAO GABRIEL DA CACHOEIRA;3
130390 SAO PAULO DE OLIVENCA;4
130395 SAO SEBASTIAO DO UATUMA;4
130406 TABATINGA;11
130410 TAPAUA;2
130420 TEFE;26
130430 URUCARA;2
130440 URUCURITUBA;1
140010 BOA VISTA;220
140023 CAROEBE;3
140047 RORAINOPOLIS;4
140050 SAO JOAO DA BALIZA;6
150010 ABAETETUBA;127
150013 ABEL FIGUEIREDO;4
150020 ACARA;29
150030 AFUA;3
150034 AGUA AZUL DO NORTE;11
150040 ALENQUER;61
150050 ALMEIRIM;7
150060 ALTAMIRA;269
150070 ANAJAS;2
150080 ANANINDEUA;213
150085 ANAPU;2
150090 AUGUSTO CORREA;13
150095 AURORA DO PARA;10
150120 BAIAO;12
150130 BARCARENA;11
150140 BELEM;1443
150145 BELTERRA;10
150157 BOM JESUS DO TOCANTINS;7
150170 BRAGANCA;153
150172 BRASIL NOVO;41
150175 BREJO GRANDE DO ARAGUAIA;1
150180 BREVES;85
150190 BUJARU;38
150200 CACHOEIRA DO ARARI;10
150210 CAMETA;145
150215 CANAA DOS CARAJAS;26
150220 CAPANEMA;108
150230 CAPITAO POCO;54
150240 CASTANHAL;55
150270 CONCEICAO DO ARAGUAIA;144
150275 CONCORDIA DO PARA;3
150276 CUMARU DO NORTE;1
150277 CURIONOPOLIS;37
150280 CURRALINHO;8
150290 CURUCA;29
150293 DOM ELISEU;63
150295 ELDORADO DOS CARAJAS;40
150300 FARO;1
150304 FLORESTA DO ARAGUAIA;13
150309 GOIANESIA DO PARA;5
150310 GURUPA;1
150320 IGARAPE-ACU;5
150330 IGARAPE-MIRI;24
150345 IPIXUNA DO PARA;41
150350 IRITUIA;23
150360 ITAITUBA;133
150370 ITUPIRANGA;7
150375 JACAREACANGA;10
150380 JACUNDA;34
