Município;AIH_aprovadas
110011 JARU;1
110012 JI-PARANA;3
110020 PORTO VELHO;7
110030 VILHENA;3
120040 RIO BRANCO;10
120070 XAPURI;1
130260 MANAUS;89
140010 BOA VISTA;3
150060 ALTAMIRA;4
150140 BELEM;11
150180 BREVES;1
150503 NOVO PROGRESSO;1
150553 PARAUAPEBAS;2
150580 PORTEL;1
150680 SANTAREM;1
160030 MACAPA;2
170100 ANANAS;1
170210 ARAGUAINA;4
171820 PORTO NACIONAL;2
172100 PALMAS;2
172210 XAMBIOA;1
210005 ACAILANDIA;2
210530 IMPERATRIZ;1
211130 SAO LUIS;43
220770 PARNAIBA;1
221100 TERESINA;10
230190 BARBALHA;3
230440 FORTALEZA;84
230830 MILAGRES;1
231180 RUSSAS;3
231290 SOBRAL;12
240010 ACARI;6
240270 CERRO CORA;1
240800 MOSSORO;3
240810 NATAL;32
250400 CAMPINA GRANDE;3
250750 JOAO PESSOA;5
250820 LAGOA DE DENTRO;1
260600 GARANHUNS;7
260730 IPUBI;1
261100 PETROLANDIA;1
261110 PETROLINA;3
261160 RECIFE;48
261600 VENTUROSA;1
270030 ARAPIRACA;1
270430 MACEIO;21
280030 ARACAJU;7
290290 BARRA DO CHOCA;1
291350 IGUAI;1
291360 ILHEUS;2
291460 IRECE;1
291480 ITABUNA;1
291800 JEQUIE;1
291840 JUAZEIRO;6
292740 SALVADOR;42
293135 TEIXEIRA DE FREITAS;4
293210 UBAIRA;1
293330 VITORIA DA CONQUISTA;2
310160 ALFENAS;5
310260 ANDRADAS;1
310280 ANDRELANDIA;2
310350 ARAGUARI;4
310400 ARAXA;3
310510 BAMBUI;3
310560 BARBACENA;4
310590 BARROSO;6
310620 BELO HORIZONTE;102
310670 BETIM;3
310730 BOCAIUVA;2
311330 CARANGOLA;9
311340 CARATINGA;4
311830 CONSELHEIRO LAFAIETE;1
312020 CRISTAIS;1
312090 CURVELO;3
312160 DIAMANTINA;3
312230 DIVINOPOLIS;12
312610 FORMIGA;2
312770 GOVERNADOR VALADARES;5
312810 GUAPE;1
313130 IPATINGA;22
313190 ITABIRITO;1
313240 ITAJUBA;2
313310 ITANHANDU;2
313380 ITAUNA;3
313620 JOAO MONLEVADE;2
313670 JUIZ DE FORA;30
313820 LAVRAS;2
313940 MANHUACU;1
314140 MEDINA;1
314320 MONTE SANTO DE MINAS;1
314330 MONTES CLAROS;7
314390 MURIAE;3
314590 OURO BRANCO;2
314790 PASSOS;9
314800 PATOS DE MINAS;4
315120 PIRAPORA;2
315150 PIUMHI;1
315180 POCOS DE CALDAS;5
315200 POMPEU;1
315250 POUSO ALEGRE;1
316110 SAO FRANCISCO;1
316250 SAO JOAO DEL REI;9
316370 SAO LOURENCO;1
316860 TEOFILO OTONI;4
316870 TIMOTEO;3
316930 TRES CORACOES;3
317010 UBERABA;7
317020 UBERLANDIA;12
317040 UNAI;1
317070 VARGINHA;1
317130 VICOSA;2
320120 CACHOEIRO DE ITAPEMIRIM;6
320150 COLATINA;2
320240 GUARAPARI;1
320320 LINHARES;2
320480 SAO JOSE DO CALCADO;1
320500 SERRA;2
320530 VITORIA;4
330020 ARARUAMA;2
330030 BARRA DO PIRAI;3
330040 BARRA MANSA;4
330060 BOM JESUS DO ITABAPOANA;1
330070 CABO FRIO;3
330100 CAMPOS DOS GOYTACAZES;8
330110 CANTAGALO;2
330220 ITAPERUNA;6
330240 MACAE;1
330250 MAGE;1
330270 MARICA;1
330290 MIGUEL PEREIRA;1
330330 NITEROI;5
330340 NOVA FRIBURGO;9
330370 PARAIBA DO SUL;4
330455 RIO DE JANEIRO;129
330470 SANTO ANTONIO DE PADUA;1
330490 SAO GONCALO;2
330550 SAQUAREMA;1
330580 TERESOPOLIS;12
330610 VALENCA;2
330620 VASSOURAS;1
330630 VOLTA REDONDA;6
350030 AGUAI;1
350160 AMERICANA;1
350170 AMERICO BRASILIENSE;1
350190 AMPARO;1
350210 ANDRADINA;4
350280 ARACATUBA;15
350320 ARARAQUARA;1
350330 ARARAS;1
350400 ASSIS;2
350450 AVARE;2
350530 BARRA BONITA;1
350550 BARRETOS;8
350570 BARUERI;5
350590 BATATAIS;8
350600 BAURU;1
350750 BOTUCATU;46
350950 CAMPINAS;19
351050 CARAGUATATUBA;2
351060 CARAPICUIBA;2
351110 CATANDUVA;10
351350 CUBATAO;1
351380 DIADEMA;7
351440 DRACENA;9
351550 FERNANDOPOLIS;2
351840 GUARATINGUETA;1
351880 GUARULHOS;1
352050 INDAIATUBA;1
352230 ITAPETININGA;1
352270 ITAPOLIS;2
352340 ITATIBA;3
352410 ITUVERAVA;10
352440 JACAREI;2
352590 JUNDIAI;4
352670 LEME;1
352680 LENCOIS PAULISTA;1
352710 LINS;2
352720 LORENA;2
352900 MARILIA;16
352940 MAUA;1
353010 MIRANDOPOLIS;2
353030 MIRASSOL;1
353050 MOCOCA;3
353060 MOGI DAS CRUZES;10
353070 MOGI GUACU;3
353080 MOGI MIRIM;1
353440 OSASCO;6
353460 OSVALDO CRUZ;1
353470 OURINHOS;2
353540 PANORAMA;1
353620 PARIQUERA-ACU;1
353870 PIRACICABA;3
354020 PONTAL;1
354140 PRESIDENTE PRUDENTE;11
354260 REGISTRO;2
354290 RIBEIRAO BONITO;1
354340 RIBEIRAO PRETO;93
354780 SANTO ANDRE;4
354850 SANTOS;7
354870 SAO BERNARDO DO CAMPO;21
354880 SAO CAETANO DO SUL;3
354890 SAO CARLOS;7
354910 SAO JOAO DA BOA VISTA;1
354940 SAO JOAQUIM DA BARRA;4
354980 SAO JOSE DO RIO PRETO;29
354990 SAO JOSE DOS CAMPOS;4
355030 SAO PAULO;213
355040 SAO PEDRO;1
355080 SAO SEBASTIAO DA GRAMA;1
355220 SOROCABA;5
355280 TABOAO DA SERRA;1
355410 TAUBATE;7
355540 UBATUBA;1
355620 VALINHOS;2
410120 ANTONINA;2
410140 APUCARANA;5
410150 ARAPONGAS;3
410180 ARAUCARIA;1
410400 CAMPINA GRANDE DO SUL;27
410420 CAMPO LARGO;1
410480 CASCAVEL;3
410640 CORNELIO PROCOPIO;2
410690 CURITIBA;77
410830 FOZ DO IGUACU;3
410880 GUAIRA;3
410930 GUARANIACU;1
410940 GUARAPUAVA;15
411010 IMBITUVA;1
411050 IPIRANGA;1
411150 IVAIPORA;1
411370 LONDRINA;30
411520 MARINGA;1
411850 PATO BRANCO;5
411915 PINHAIS;1
411990 PONTA GROSSA;6
412060 PRUDENTOPOLIS;1
412550 SAO JOSE DOS PINHAIS;1
412625 SARANDI;1
412770 TOLEDO;1
412810 UMUARAMA;6
412820 UNIAO DA VITORIA;1
420140 ARARANGUA;1
420200 BALNEARIO CAMBORIU;1
420240 BLUMENAU;19
420280 BRACO DO NORTE;2
420290 BRUSQUE;10
420310 CAIBI;1
420420 CHAPECO;11
420430 CONCORDIA;5
420460 CRICIUMA;3
420480 CURITIBANOS;1
420540 FLORIANOPOLIS;44
420590 GASPAR;3
420730 IMBITUBA;2
420820 ITAJAI;2
420850 ITUPORANGA;3
420890 JARAGUA DO SUL;4
420910 JOINVILLE;20
420930 LAGES;12
421010 MAFRA;2
421320 POMERODE;1
421360 PORTO UNIAO;1
421420 QUILOMBO;1
421480 RIO DO SUL;2
421490 RIO FORTUNA;2
421500 RIO NEGRINHO;2
421530 SALETE;1
421600 SAO CARLOS;3
421660 SAO JOSE;3
421725 SAO PEDRO DE ALCANTARA;6
421870 TUBARAO;20
421920 VIDAL RAMOS;1
430064 AMETISTA DO SUL;1
430080 ANTONIO PRADO;2
430210 BENTO GONCALVES;5
430220 BOA VISTA DO BURICA;2
430280 CACAPAVA DO SUL;2
430470 CARAZINHO;5
430480 CARLOS BARBOSA;1
430510 CAXIAS DO SUL;2
430610 CRUZ ALTA;11
430660 DOM PEDRITO;7
430700 ERECHIM;18
430760 ESTANCIA VELHA;1
430780 ESTRELA;5
430790 FARROUPILHA;1
430850 FREDERICO WESTPHALEN;1
430900 GIRUA;3
430910 GRAMADO;2
430920 GRAVATAI;1
430940 GUAPORE;7
431020 IJUI;10
431140 LAJEADO;4
431205 MARQUES DE SOUZA;1
431340 NOVO HAMBURGO;2
431410 PASSO FUNDO;99
431440 PELOTAS;6
431490 PORTO ALEGRE;71
431515 PROGRESSO;6
431560 RIO GRANDE;11
431630 ROQUE GONZALES;3
431680 SANTA CRUZ DO SUL;2
431710 SANT'ANA DO LIVRAMENTO;5
431740 SANTIAGO;3
431800 SAO BORJA;1
431870 SAO LEOPOLDO;4
431880 SAO LOURENCO DO SUL;1
431940 SAO PEDRO DO SUL;1
432010 SARANDI;1
432145 TEUTONIA;1
432150 TORRES;3
432240 URUGUAIANA;8
432253 VALE DO SOL;8
432260 VENANCIO AIRES;2
432270 VERA CRUZ;1
500080 ANAURILANDIA;1
500270 CAMPO GRANDE;2
500370 DOURADOS;6
500830 TRES LAGOAS;2
510025 ALTA FLORESTA;19
510250 CACERES;1
510340 CUIABA;2
510560 MATUPA;1
510760 RONDONOPOLIS;3
520110 ANAPOLIS;2
520140 APARECIDA DE GOIANIA;1
520510 CATALAO;2
520530 CAVALCANTE;1
520870 GOIANIA;64
521380 MORRINHOS;4
521550 OUVIDOR;1
521850 QUIRINOPOLIS;1
530010 BRASILIA;51
Total;2593
