Município;AIH_aprovadas
110004 CACOAL;3
110020 PORTO VELHO;17
110030 VILHENA;2
120020 CRUZEIRO DO SUL;2
120040 RIO BRANCO;18
130120 COARI;1
130250 MANACAPURU;1
130260 MANAUS;15
130370 SANTO ANTONIO DO ICA;1
140010 BOA VISTA;10
140047 RORAINOPOLIS;2
150060 ALTAMIRA;3
150080 ANANINDEUA;1
150130 BARCARENA;2
150140 BELEM;6
150180 BREVES;1
150220 CAPANEMA;3
150240 CASTANHAL;2
150360 ITAITUBA;2
150380 JACUNDA;14
150420 MARABA;9
150442 MARITUBA;1
150550 PARAGOMINAS;2
150553 PARAUAPEBAS;3
150613 REDENCAO;1
150680 SANTAREM;7
150795 TAILANDIA;1
150810 TUCURUI;1
160030 MACAPA;2
210005 ACAILANDIA;1
210300 CAXIAS;4
210320 CHAPADINHA;4
210530 IMPERATRIZ;3
210860 PINHEIRO;1
210910 PRESIDENTE DUTRA;1
211130 SAO LUIS;25
220120 BARRAS;2
220770 PARNAIBA;2
220840 PIRIPIRI;2
221100 TERESINA;12
230120 ARACOIABA;1
230260 CAMOCIM;1
230370 CAUCAIA;4
230410 CRATEUS;7
230420 CRATO;2
230440 FORTALEZA;62
230640 ITAPIPOCA;3
230730 JUAZEIRO DO NORTE;2
230765 MARACANAU;1
230770 MARANGUAPE;1
231290 SOBRAL;7
231330 TAUA;3
231340 TIANGUA;1
240800 MOSSORO;8
240810 NATAL;12
240940 PAU DOS FERROS;4
241120 SANTA CRUZ;1
250400 CAMPINA GRANDE;4
250750 JOAO PESSOA;40
251370 SANTA RITA;7
260120 ARCOVERDE;2
260290 CABO DE SANTO AGOSTINHO;3
260410 CARUARU;5
260600 GARANHUNS;1
260620 GOIANA;1
260790 JABOATAO DOS GUARARAPES;2
260940 MORENO;2
260990 OURICURI;2
261000 PALMARES;1
261070 PAULISTA;20
261110 PETROLINA;1
261160 RECIFE;65
261220 SALGUEIRO;3
261390 SERRA TALHADA;1
261640 VITORIA DE SANTO ANTAO;1
270030 ARAPIRACA;2
270240 DELMIRO GOUVEIA;2
270430 MACEIO;8
270630 PALMEIRA DOS INDIOS;1
270730 PORTO CALVO;2
270800 SANTANA DO IPANEMA;2
270860 SAO MIGUEL DOS CAMPOS;1
280030 ARACAJU;21
280350 LAGARTO;2
290050 ERICO CARDOSO;1
290070 ALAGOINHAS;2
290320 BARREIRAS;6
290390 BOM JESUS DA LAPA;1
290460 BRUMADO;7
290520 CAETITE;6
290840 CONCEICAO DO COITE;1
291080 FEIRA DE SANTANA;4
291170 GUANAMBI;9
291360 ILHEUS;1
291480 ITABUNA;2
291800 JEQUIE;5
291840 JUAZEIRO;4
291980 MACAUBAS;1
292250 NAZARE;1
292400 PAULO AFONSO;4
292740 SALVADOR;110
292870 SANTO ANTONIO DE JESUS;10
293015 SERRA DO RAMALHO;1
293290 VALENCA;2
293330 VITORIA DA CONQUISTA;7
310160 ALFENAS;2
310170 ALMENARA;5
310350 ARAGUARI;10
310400 ARAXA;7
310490 BAEPENDI;6
310510 BAMBUI;1
310560 BARBACENA;12
310620 BELO HORIZONTE;81
310670 BETIM;9
310730 BOCAIUVA;6
310860 BRASILIA DE MINAS;1
310900 BRUMADINHO;5
310950 CABO VERDE;2
311120 CAMPO BELO;7
311230 CAPELINHA;2
311260 CAPINOPOLIS;3
311320 CARANDAI;1
311340 CARATINGA;14
311660 CLAUDIO;1
311800 CONGONHAS;10
311830 CONSELHEIRO LAFAIETE;2
311840 CONSELHEIRO PENA;1
311860 CONTAGEM;8
311940 CORONEL FABRICIANO;1
312080 CRUZILIA;2
312090 CURVELO;5
312160 DIAMANTINA;2
312230 DIVINOPOLIS;2
312390 ENTRE RIOS DE MINAS;2
312610 FORMIGA;1
312670 FRANCISCO SA;1
312770 GOVERNADOR VALADARES;2
312800 GUANHAES;1
312870 GUAXUPE;2
313120 IPANEMA;1
313170 ITABIRA;5
313180 ITABIRINHA;5
313190 ITABIRITO;1
313240 ITAJUBA;1
313250 ITAMARANDIBA;2
313330 ITAOBIM;1
313350 ITAPECERICA;1
313420 ITUIUTABA;1
313440 ITURAMA;3
313510 JANAUBA;2
313620 JOAO MONLEVADE;1
313670 JUIZ DE FORA;28
313840 LEOPOLDINA;1
313880 LUZ;4
313900 MACHADO;1
313940 MANHUACU;2
313950 MANHUMIRIM;1
314070 MATEUS LEME;1
314330 MONTES CLAROS;12
314430 NANUQUE;2
314480 NOVA LIMA;5
314520 NOVA SERRANA;2
314610 OURO PRETO;1
314710 PARA DE MINAS;4
314730 PARAISOPOLIS;1
314790 PASSOS;1
314800 PATOS DE MINAS;3
315120 PIRAPORA;2
315150 PIUMHI;2
315170 POCO FUNDO;4
315180 POCOS DE CALDAS;1
315210 PONTE NOVA;2
315250 POUSO ALEGRE;1
315400 RAUL SOARES;4
315430 RESPLENDOR;4
315580 RIO POMBA;6
315690 SACRAMENTO;2
315960 SANTA RITA DO SAPUCAI;4
316240 SAO JOAO DA PONTE;5
316250 SAO JOAO DEL REI;1
316370 SAO LOURENCO;1
316470 SAO SEBASTIAO DO PARAISO;3
316720 SETE LAGOAS;1
316800 TAIOBEIRAS;1
316860 TEOFILO OTONI;2
316870 TIMOTEO;1
316935 TRES MARIAS;2
316940 TRES PONTAS;4
316970 TURMALINA;2
316990 UBA;5
317010 UBERABA;4
317020 UBERLANDIA;4
317200 VISCONDE DO RIO BRANCO;3
320120 CACHOEIRO DE ITAPEMIRIM;7
320150 COLATINA;10
320170 CONCEICAO DO CASTELO;3
320230 GUACUI;2
320320 LINHARES;7
320460 SANTA TERESA;6
320490 SAO MATEUS;13
320500 SERRA;3
320506 VENDA NOVA DO IMIGRANTE;2
320520 VILA VELHA;14
320530 VITORIA;27
330010 ANGRA DOS REIS;4
330015 APERIBE;2
330030 BARRA DO PIRAI;2
330060 BOM JESUS DO ITABAPOANA;2
330080 CACHOEIRAS DE MACACU;1
330100 CAMPOS DOS GOYTACAZES;4
330170 DUQUE DE CAXIAS;2
330240 MACAE;2
330270 MARICA;1
330330 NITEROI;6
330370 PARAIBA DO SUL;2
330420 RESENDE;2
330430 RIO BONITO;3
330455 RIO DE JANEIRO;124
330480 SAO FIDELIS;2
330490 SAO GONCALO;2
330580 TERESOPOLIS;7
330610 VALENCA;3
330630 VOLTA REDONDA;9
350010 ADAMANTINA;2
350160 AMERICANA;1
350280 ARACATUBA;1
350320 ARARAQUARA;1
350410 ATIBAIA;3
350550 BARRETOS;5
350570 BARUERI;17
350600 BAURU;9
350610 BEBEDOURO;1
350750 BOTUCATU;3
350760 BRAGANCA PAULISTA;2
350880 CAFELANDIA;2
350900 CAIEIRAS;1
350950 CAMPINAS;35
351050 CARAGUATATUBA;4
351060 CARAPICUIBA;2
351110 CATANDUVA;1
351200 COLINA;2
351300 COTIA;3
351350 CUBATAO;1
351380 DIADEMA;5
351620 FRANCA;9
351640 FRANCO DA ROCHA;5
351670 GARCA;2
351740 GUAIRA;6
351820 GUARARAPES;2
351860 GUARIBA;2
351870 GUARUJA;3
351880 GUARULHOS;12
351960 IBITINGA;1
352210 ITANHAEM;1
352220 ITAPECERICA DA SERRA;7
352230 ITAPETININGA;2
352250 ITAPEVI;1
352260 ITAPIRA;1
352310 ITAQUAQUECETUBA;2
352440 JACAREI;4
352480 JALES;2
352530 JAU;4
352590 JUNDIAI;25
352670 LEME;4
352690 LIMEIRA;3
352730 LOUVEIRA;1
352900 MARILIA;8
352930 MATAO;3
353060 MOGI DAS CRUZES;8
353070 MOGI GUACU;6
353260 NHANDEARA;1
353350 NOVO HORIZONTE;2
353430 ORLANDIA;1
353440 OSASCO;6
353470 OURINHOS;5
353700 PEDREGULHO;2
353870 PIRACICABA;27
354000 POMPEIA;2
354020 PONTAL;1
354070 PORTO FERREIRA;2
354100 PRAIA GRANDE;1
