Município;AIH_aprovadas
110004 CACOAL;3
110020 PORTO VELHO;1
120040 RIO BRANCO;1
211130 SAO LUIS;3
221100 TERESINA;284
230190 BARBALHA;5
230440 FORTALEZA;7
231330 TAUA;1
240800 MOSSORO;3
261070 PAULISTA;5
261110 PETROLINA;2
261160 RECIFE;148
270030 ARAPIRACA;1
270430 MACEIO;1
290460 BRUMADO;7
291072 EUNAPOLIS;1
292740 SALVADOR;21
293330 VITORIA DA CONQUISTA;76
310160 ALFENAS;33
310400 ARAXA;4
310620 BELO HORIZONTE;1108
310860 BRASILIA DE MINAS;1
311340 CARATINGA;4
311800 CONGONHAS;4
312230 DIVINOPOLIS;60
312610 FORMIGA;2
313510 JANAUBA;1
313670 JUIZ DE FORA;27
314330 MONTES CLAROS;155
314790 PASSOS;5
315210 PONTE NOVA;4
315250 POUSO ALEGRE;8
317010 UBERABA;6
317020 UBERLANDIA;82
320460 SANTA TERESA;23
320500 SERRA;84
320520 VILA VELHA;47
320530 VITORIA;129
330070 CABO FRIO;2
330100 CAMPOS DOS GOYTACAZES;7
330220 ITAPERUNA;9
330330 NITEROI;21
330370 PARAIBA DO SUL;41
330390 PETROPOLIS;140
330455 RIO DE JANEIRO;49
330580 TERESOPOLIS;3
330600 TRES RIOS;3
350280 ARACATUBA;131
350330 ARARAS;1
350400 ASSIS;5
350550 BARRETOS;22
350600 BAURU;150
350610 BEBEDOURO;3
350750 BOTUCATU;139
350760 BRAGANCA PAULISTA;19
350790 BROTAS;1
350950 CAMPINAS;113
351110 CATANDUVA;2
351620 FRANCA;75
351880 GUARULHOS;31
352010 IGARAPAVA;4
352210 ITANHAEM;17
352310 ITAQUAQUECETUBA;1
352530 JAU;12
352590 JUNDIAI;123
352690 LIMEIRA;72
352900 MARILIA;38
352940 MAUA;1
353070 MOGI GUACU;9
353350 NOVO HORIZONTE;2
353800 PINDAMONHANGABA;4
353870 PIRACICABA;77
354160 PROMISSAO;1
354340 RIBEIRAO PRETO;144
354390 RIO CLARO;5
354780 SANTO ANDRE;1
354850 SANTOS;30
354870 SAO BERNARDO DO CAMPO;9
354880 SAO CAETANO DO SUL;8
354910 SAO JOAO DA BOA VISTA;1
354940 SAO JOAQUIM DA BARRA;9
354980 SAO JOSE DO RIO PRETO;113
354990 SAO JOSE DOS CAMPOS;19
355030 SAO PAULO;503
355220 SOROCABA;553
355240 SUMARE;48
355250 SUZANO;16
355410 TAUBATE;123
410140 APUCARANA;3
410150 ARAPONGAS;322
410210 ASTORGA;3
410400 CAMPINA GRANDE DO SUL;10
410420 CAMPO LARGO;99
410430 CAMPO MOURAO;8
410690 CURITIBA;1272
410840 FRANCISCO BELTRAO;43
410880 GUAIRA;1
411150 IVAIPORA;2
411370 LONDRINA;102
411520 MARINGA;198
411580 MEDIANEIRA;14
411990 PONTA GROSSA;56
412810 UMUARAMA;53
420090 ANGELINA;41
420140 ARARANGUA;2
420200 BALNEARIO CAMBORIU;40
420240 BLUMENAU;213
420280 BRACO DO NORTE;3
420290 BRUSQUE;31
420320 CAMBORIU;69
420360 CAMPOS NOVOS;7
420420 CHAPECO;171
420430 CONCORDIA;63
420440 CORONEL FREITAS;104
420460 CRICIUMA;66
420470 CUNHA PORA;21
420540 FLORIANOPOLIS;215
420640 GUARACIABA;1
420690 IBIRAMA;1
420700 ICARA;37
420750 INDAIAL;22
420765 IPORA DO OESTE;19
420820 ITAJAI;211
420850 ITUPORANGA;1
420890 JARAGUA DO SUL;6
420900 JOACABA;6
420910 JOINVILLE;223
421010 MAFRA;9
421080 MELEIRO;3
421130 NAVEGANTES;7
421150 NOVA TRENTO;83
421250 PENHA;363
421320 POMERODE;1
421360 PORTO UNIAO;2
421400 PRESIDENTE GETULIO;2
421420 QUILOMBO;2
421480 RIO DO SUL;28
421570 SANTO AMARO DA IMPERATRIZ;84
421580 SAO BENTO DO SUL;2
421600 SAO CARLOS;1
421630 SAO JOAO BATISTA;1
421660 SAO JOSE;73
421720 SAO MIGUEL DO OESTE;19
421730 SAUDADES;35
421870 TUBARAO;77
421950 XANXERE;18
421970 XAXIM;4
430210 BENTO GONCALVES;50
430300 CACHOEIRA DO SUL;2
430460 CANOAS;354
430480 CARLOS BARBOSA;2
430510 CAXIAS DO SUL;5
430610 CRUZ ALTA;59
430680 ENCANTADO;2
430780 ESTRELA;1
431140 LAJEADO;13
431405 PAROBE;1
431410 PASSO FUNDO;435
431490 PORTO ALEGRE;139
431680 SANTA CRUZ DO SUL;45
431690 SANTA MARIA;1
431720 SANTA ROSA;6
431750 SANTO ANGELO;3
432150 TORRES;2
432240 URUGUAIANA;3
500270 CAMPO GRANDE;17
500325 COSTA RICA;4
510025 ALTA FLORESTA;1
510340 CUIABA;6
510525 LUCAS DO RIO VERDE;19
510787 SAPEZAL;2
520110 ANAPOLIS;66
520140 APARECIDA DE GOIANIA;1
520870 GOIANIA;546
522045 SENADOR CANEDO;4
530010 BRASILIA;17
Total;11646
 ;
