Município;Até 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos ou mais;Inconsistente;Total
110001 Alta Floresta D'Oeste;186;1010;1039;927;1055;1197;1534;1724;1299;1025;847;619;427;235;152;100;70;79;0;13525
110037 Alto Alegre dos Parecis;0;6;1;12;8;8;6;7;8;12;14;2;3;0;0;0;0;0;0;87
110040 Alto Paraíso;8;27;34;42;45;27;28;39;35;41;42;28;15;4;7;3;1;0;0;426
110034 Alvorada D'Oeste;11;30;42;55;70;49;43;44;49;68;60;49;26;25;9;3;3;3;0;639
110002 Ariquemes;69;392;475;507;563;745;726;779;597;580;696;571;429;226;155;86;74;47;0;7717
110045 Buritis;5;31;46;40;34;32;53;51;29;42;39;32;31;10;8;2;1;1;0;487
110003 Cabixi;1;3;7;16;14;11;8;15;14;17;23;16;5;2;2;2;1;0;0;157
110060 Cacaulândia;4;15;9;12;12;13;31;15;15;15;14;14;8;2;3;1;1;0;0;184
110004 Cacoal;91;407;415;439;523;636;672;583;515;512;636;600;439;241;154;111;55;62;0;7091
110070 Campo Novo de Rondônia;1;0;5;3;7;2;4;5;5;3;7;5;3;0;0;0;0;0;0;50
110080 Candeias do Jamari;13;43;47;40;66;86;85;75;63;44;45;29;26;26;11;7;3;3;0;712
110090 Castanheiras;0;4;4;2;4;2;6;2;3;3;5;2;4;0;0;1;0;0;0;42
110005 Cerejeiras;2;33;39;66;51;52;46;53;68;62;53;54;50;19;16;17;2;7;0;690
110092 Chupinguaia;1;6;6;6;7;15;10;15;9;12;12;5;7;1;2;2;2;0;0;118
110006 Colorado do Oeste;11;62;83;65;79;102;123;89;85;100;121;91;64;34;17;15;7;8;0;1156
110007 Corumbiara;0;6;7;12;10;10;4;9;10;14;8;7;5;2;0;1;0;2;0;107
110008 Costa Marques;4;14;16;28;27;19;16;18;22;27;43;31;28;11;12;5;3;1;0;325
110094 Cujubim;4;11;14;14;21;15;21;16;23;15;22;12;10;4;3;0;1;0;0;206
110009 Espigão D'Oeste;21;98;98;98;113;116;140;123;119;137;161;157;91;44;35;19;10;13;0;1593
110100 Governador Jorge Teixeira;1;10;4;9;9;7;7;3;3;10;8;3;7;2;0;0;0;0;0;83
110010 Guajará-Mirim;25;141;186;192;190;177;179;218;158;173;242;220;227;156;115;80;37;52;4;2772
110110 Itapuã do Oeste;68;253;163;122;200;421;549;428;289;222;176;133;88;35;16;10;11;8;0;3192
110011 Jaru;15;172;171;203;223;231;304;221;250;242;278;224;159;83;48;22;17;7;2;2872
110012 Ji-Paraná;172;821;837;815;826;1004;1068;1121;910;878;1069;1002;730;448;254;170;133;126;5;12389
110013 Machadinho D'Oeste;7;23;51;54;47;39;42;47;67;55;68;51;44;16;9;3;2;0;0;625
110120 Ministro Andreazza;3;8;5;4;7;11;9;4;3;9;10;4;6;1;1;0;0;0;0;85
110130 Mirante da Serra;1;15;23;34;21;16;18;16;31;28;27;20;13;12;2;1;1;1;0;280
110140 Monte Negro;1;15;6;11;18;12;13;12;18;12;18;16;14;8;4;0;0;1;0;179
110014 Nova Brasilândia D'Oeste;1;23;26;28;36;30;32;30;36;26;53;28;24;6;6;2;1;3;0;391
110033 Nova Mamoré;1;10;20;23;16;14;18;21;21;25;29;25;18;9;7;2;2;0;0;261
110143 Nova União;1;7;14;7;9;5;5;7;7;8;6;9;3;0;0;2;2;0;0;92
110050 Novo Horizonte do Oeste;2;4;2;9;11;7;11;4;11;6;14;11;8;2;3;0;0;1;0;106
110015 Ouro Preto do Oeste;27;182;192;197;189;201;213;232;209;239;281;289;213;130;96;59;25;31;0;3005
110145 Parecis;0;2;3;3;3;7;5;4;3;6;4;5;8;1;1;0;0;1;0;56
110018 Pimenta Bueno;30;155;146;167;188;256;275;219;188;200;277;271;210;124;53;37;23;27;0;2846
110146 Pimenteiras do Oeste;0;1;5;6;4;1;0;2;6;4;4;5;2;1;0;0;0;0;0;41
110020 Porto Velho;1167;5273;5368;5303;6563;10331;11110;9993;7702;6901;7073;6087;4591;2835;1742;1284;970;1246;1;95540
110025 Presidente Médici;12;88;91;117;147;71;85;117;100;117;145;127;106;58;27;11;7;4;0;1430
110147 Primavera de Rondônia;0;7;3;3;1;4;6;5;5;5;5;10;5;1;0;0;0;0;0;60
110026 Rio Crespo;0;10;3;10;15;5;9;11;10;12;5;7;4;1;0;1;1;0;0;104
110028 Rolim de Moura;27;127;178;162;204;217;277;289;244;225;237;224;145;98;39;29;10;12;0;2744
110029 Santa Luzia D'Oeste;0;16;24;16;26;16;8;16;27;30;35;23;11;5;3;0;2;1;0;259
110148 São Felipe D'Oeste;1;3;6;8;6;5;3;5;5;10;8;6;6;3;1;0;0;0;0;76
110149 São Francisco do Guaporé;4;6;9;11;8;19;20;13;15;11;19;12;10;6;1;3;0;1;0;168
110032 São Miguel do Guaporé;9;23;21;23;27;25;34;38;36;24;28;26;14;6;10;5;2;3;0;354
110150 Seringueiras;1;8;14;13;10;9;14;18;15;15;17;9;5;2;3;0;2;1;0;156
110155 Teixeirópolis;2;8;3;5;7;5;4;6;7;7;12;2;3;0;1;0;0;0;0;72
110160 Theobroma;0;4;10;13;14;6;11;13;18;13;15;14;5;3;4;2;0;0;0;145
110170 Urupá;5;22;22;23;30;21;26;15;25;22;26;27;19;6;2;1;2;0;0;294
110175 Vale do Anari;0;6;8;8;8;6;3;0;9;11;4;7;6;6;0;0;0;0;0;82
110180 Vale do Paraíso;1;8;9;13;12;5;9;11;7;11;11;8;6;5;2;0;0;2;0;120
110030 Vilhena;129;514;577;558;572;783;911;796;723;653;731;643;530;302;216;123;87;78;0;8926
110000 Município ignorado - RO;0;6;9;7;15;5;7;8;13;15;16;21;9;5;1;1;2;0;5;145
120001 Acrelândia;5;16;19;16;9;26;19;22;12;16;15;15;6;3;2;0;1;4;0;206
120005 Assis Brasil;0;6;7;6;5;4;5;11;3;6;7;4;2;0;0;1;0;0;0;67
120010 Brasiléia;1;8;13;18;12;19;13;19;16;9;18;17;18;13;6;3;0;1;0;204
120013 Bujari;0;9;8;6;5;5;4;7;2;1;3;0;2;4;3;0;0;0;0;59
120017 Capixaba;2;2;2;2;3;6;2;1;2;2;3;1;2;1;1;0;0;0;0;32
120020 Cruzeiro do Sul;13;46;47;51;77;82;98;96;58;76;74;55;33;37;38;14;12;7;0;914
120025 Epitaciolândia;1;6;5;4;5;2;14;10;10;5;7;4;3;4;4;0;0;0;0;84
120030 Feijó;3;8;14;12;18;12;16;21;10;11;11;12;6;4;5;3;0;1;0;167
120032 Jordão;1;1;0;2;11;21;53;115;119;232;364;438;395;302;410;539;427;497;0;3927
120033 Mâncio Lima;1;3;2;3;7;5;2;2;6;4;1;0;1;0;0;0;1;0;0;38
120034 Manoel Urbano;0;2;1;2;0;2;3;3;1;0;0;2;1;1;0;0;0;0;0;18
120035 Marechal Thaumaturgo;0;0;2;3;1;1;3;3;0;0;0;1;0;0;0;0;0;0;0;14
120038 Plácido de Castro;1;6;8;5;7;10;13;7;5;4;7;4;6;4;2;2;1;1;0;93
120080 Porto Acre;0;7;3;4;0;1;10;5;2;2;1;3;3;3;0;0;0;0;0;44
120039 Porto Walter;0;2;3;0;1;4;2;2;0;0;0;0;0;0;0;0;0;0;0;14
120040 Rio Branco;644;3097;3253;2792;2571;2704;3175;3276;2759;2575;2862;2588;2404;1787;1172;854;601;694;0;39808
120042 Rodrigues Alves;0;0;3;0;0;0;2;3;1;1;0;0;2;1;0;1;0;0;0;14
120043 Santa Rosa do Purus;0;2;1;0;1;1;2;0;0;1;1;0;0;0;0;0;0;0;0;9
120050 Sena Madureira;0;16;17;10;22;17;15;14;11;15;23;20;21;11;6;5;0;3;0;226
120045 Senador Guiomard;8;42;32;23;21;19;16;24;13;14;10;15;9;5;6;1;2;0;0;260
120060 Tarauacá;3;12;17;18;19;23;29;20;11;10;18;16;13;5;3;0;2;3;0;222
120070 Xapuri;0;7;11;12;10;6;13;9;3;3;7;15;4;5;1;6;0;1;0;113
120000 Município ignorado - AC;0;1;6;5;1;2;3;7;1;2;4;5;3;1;1;2;1;1;0;46
130002 Alvarães;1;5;21;15;23;24;40;22;9;10;13;11;6;12;4;1;1;23;1;242
130006 Amaturá;0;2;2;2;5;2;1;1;4;0;2;3;1;0;0;1;0;0;0;26
130008 Anamã;0;7;5;5;9;0;2;6;7;5;0;0;2;3;2;1;0;1;0;55
130010 Anori;0;4;8;6;7;4;4;7;6;6;4;2;2;1;1;0;0;0;0;62
130014 Apuí;0;3;4;11;15;7;4;4;9;9;8;7;2;1;2;0;0;1;0;87
130020 Atalaia do Norte;0;3;9;9;10;3;13;9;7;5;7;2;3;1;1;1;0;0;0;83
130030 Autazes;3;28;23;20;12;24;42;32;23;13;14;13;2;4;6;2;1;1;0;263
130040 Barcelos;3;6;8;10;10;7;15;17;8;4;3;1;8;4;0;0;2;0;0;106
