Nome;Codigo;Acidentes de transito
Alto Paraíso;110040;1
Ariquemes;110002;4
Buritis;110045;1
Candeias do Jamari;110080;24
Cujubim;110094;2
Guajará-Mirim;110010;5
Itapuã do Oeste;110110;5
Jaru;110011;1
Ji-Paraná;110012;1
Machadinho D'Oeste;110013;1
Monte Negro;110140;1
Nova Mamoré;110033;7
Novo Horizonte do Oeste;110050;1
Ouro Preto do Oeste;110015;3
Pimenta Bueno;110018;1
Porto Velho;110020;900
Presidente Médici;110025;1
Rolim de Moura;110028;3
Theobroma;110160;1
Acrelândia;120001;18
Assis Brasil;120005;3
Brasiléia;120010;12
Bujari;120013;16
Capixaba;120017;13
Epitaciolândia;120025;1
Feijó;120030;9
Jordão;120032;2
Manoel Urbano;120034;7
Plácido de Castro;120038;29
Porto Acre;120080;43
Rio Branco;120040;1160
Santa Rosa do Purus;120043;3
Sena Madureira;120050;27
Senador Guiomard;120045;28
Tarauacá;120060;1
Xapuri;120070;8
Barcelos;130040;1
Barreirinha;130050;1
Boca do Acre;130070;11
Careiro;130110;1
Humaitá;130170;7
Itamarati;130195;1
Lábrea;130240;1
Manaus;130260;1
Pauini;130350;5
Presidente Figueiredo;130353;1
Alto Alegre;140005;31
Amajari;140002;19
Boa Vista;140010;1567
Bonfim;140015;22
Cantá;140017;55
Caracaraí;140020;7
Caroebe;140023;4
Iracema;140028;3
Mucajaí;140030;16
Normandia;140040;7
Pacaraima;140045;4
Rorainópolis;140047;6
São João da Baliza;140050;4
São Luiz;140060;2
Uiramutã;140070;9
Abaetetuba;150010;26
Acará;150020;56
Afuá;150030;28
Água Azul do Norte;150034;2
Almeirim;150050;3
Anajás;150070;4
Ananindeua;150080;1078
Augusto Corrêa;150090;4
Aurora do Pará;150095;7
Bagre;150110;1
Baião;150120;2
Barcarena;150130;66
Belém;150140;3645
Benevides;150150;30
Bonito;150160;4
Bragança;150170;12
Breves;150180;16
Bujaru;150190;14
Cachoeira do Arari;150200;3
Cachoeira do Piriá;150195;4
Cametá;150210;4
Capanema;150220;16
Capitão Poço;150230;8
Castanhal;150240;42
Chaves;150250;14
Colares;150260;3
Concórdia do Pará;150275;8
Curralinho;150280;2
Curuá;150285;2
Curuçá;150290;17
Eldorado dos Carajás;150295;1
Garrafão do Norte;150307;8
Igarapé-Açu;150320;11
Igarapé-Miri;150330;11
Inhangapi;150340;2
Ipixuna do Pará;150345;8
Irituia;150350;10
Itaituba;150360;1
Mãe do Rio;150405;13
Magalhães Barata;150410;1
Marabá;150420;2
Maracanã;150430;4
Marapanim;150440;9
Marituba;150442;67
Melgaço;150450;4
Mocajuba;150460;3
Moju;150470;26
Monte Alegre;150480;1
Muaná;150490;4
Nova Esperança do Piriá;150495;3
Nova Timboteua;150500;2
Oeiras do Pará;150520;5
Ourém;150540;6
Paragominas;150550;2
Parauapebas;150553;2
Pau D'Arco;150555;1
Peixe-Boi;150560;1
Ponta de Pedras;150570;5
Portel;150580;3
Porto de Moz;150590;1
Primavera;150610;1
Quatipuru;150611;2
Salinópolis;150620;10
Salvaterra;150630;8
Santa Bárbara do Pará;150635;9
Santa Cruz do Arari;150640;1
Santa Isabel do Pará;150650;18
Santa Luzia do Pará;150655;3
Santa Maria do Pará;150660;5
Santarém;150680;1
Santo Antônio do Tauá;150700;21
São Caetano de Odivelas;150710;4
São Domingos do Capim;150720;8
São Francisco do Pará;150740;2
São João de Pirabas;150747;3
São Miguel do Guamá;150760;16
São Sebastião da Boa Vista;150770;3
Soure;150790;9
Tailândia;150795;18
Terra Alta;150796;5
Tomé-Açu;150800;9
Tracuateua;150803;4
Tucuruí;150810;2
Ulianópolis;150812;8
Vigia;150820;25
Viseu;150830;3
Xinguara;150840;1
Amapá;160010;11
Calçoene;160020;3
Cutias;160021;10
Ferreira Gomes;160023;15
Itaubal;160025;7
Laranjal do Jari;160027;14
Macapá;160030;2629
Mazagão;160040;35
Oiapoque;160050;13
Pedra Branca do Amapari;160015;21
Porto Grande;160053;40
Pracuúba;160055;3
Santana;160060;52
Serra do Navio;160005;5
Tartarugalzinho;160070;12
Almas;170040;1
Alvorada;170070;1
Aparecida do Rio Negro;170110;7
Araguaína;170210;1
Barrolândia;170310;1
Bom Jesus do Tocantins;170330;1
Caseara;170390;1
Chapada de Areia;170460;1
