DATA INICIO ATIVIDADE;UF;MUNICIPIO;TEMPO DE ATIVIDADE (ANOS)
2015-11-17;PI;TERESINA;7
2015-11-27;PR;TELEMACO BORBA;7
2015-12-04;SP;SAO PAULO;7
2016-01-11;PE;RECIFE;7
2016-01-14;SP;SAO PAULO;7
2016-01-15;SP;RIBEIRAO PRETO;7
2016-01-22;SP;TABOAO DA SERRA;7
2016-01-25;GO;GOIANIA;7
2016-01-29;SP;RUBINEIA;7
2014-11-26;PI;PEDRO II;8
2016-02-01;RS;PORTO ALEGRE;7
2016-02-05;SP;OSASCO;7
2016-02-05;SP;SAO PAULO;7
2016-02-03;MT;RONDONOPOLIS;7
2015-12-18;PR;FOZ DO IGUACU;7
2016-02-23;MG;ALVINOPOLIS;7
2016-02-24;PB;JOAO PESSOA;7
2016-03-03;SP;SAO PAULO;7
2016-02-24;SP;SAO PAULO;7
2016-03-08;BA;JUAZEIRO;7
2016-03-17;SP;SAO PAULO;7
2016-03-22;PR;MISSAL;7
2016-03-29;MS;CAARAPO;7
2016-03-30;GO;NIQUELANDIA;7
2016-03-30;SP;TAUBATE;7
2016-04-07;DF;BRASILIA;7
2016-04-07;BA;SALVADOR;7
2016-04-14;DF;BRASILIA;7
2016-04-19;MS;CAMPO GRANDE;7
2016-04-20;RS;CASCA;7
2016-04-22;SP;TUPA;7
2016-04-25;AM;MANAUS;7
2016-04-25;SP;SAO PAULO;7
2016-04-26;SP;SAO PAULO;7
2016-04-26;SP;GUARULHOS;7
2016-05-01;RN;NATAL;7
2016-05-02;PR;PONTA GROSSA;7
2013-08-23;BA;SALVADOR;9
2016-05-13;RS;PELOTAS;7
2016-05-30;MG;JOAO MONLEVADE;7
2016-06-05;SP;SAO PAULO;7
2016-06-06;SP;SAO PAULO;7
2016-06-09;DF;BRASILIA;7
2008-07-25;SC;FLORIANOPOLIS;14
2016-06-14;PE;RECIFE;7
2016-06-15;RS;ENCANTADO;7
2016-06-20;PE;RECIFE;7
2016-06-21;SP;PIRACAIA;7
2016-06-27;SP;SAO PAULO;6
2016-07-01;SP;CAJURU;6
2016-06-14;SP;SAO PAULO;7
2016-07-13;SP;SAO PAULO;6
2016-07-13;SP;SAO PAULO;6
2016-07-15;BA;SALVADOR;6
2016-05-19;BA;SALVADOR;7
2016-07-20;PR;NOVA ESPERANCA;6
2016-06-28;RS;PORTO ALEGRE;6
2016-07-25;RN;NATAL;6
