Nome;Codigo;80 anos e mais;Menor que 1 a 9 anos;10 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos
Alta Floresta D'Oeste;110001;79;2235;1982;2731;3023;1872;1046;387;170
Alto Alegre dos Parecis;110037;0;7;20;14;15;26;5;0;0
Alto Paraíso;110040;0;69;87;55;74;83;43;11;4
Alvorada D'Oeste;110034;3;83;125;92;93;128;75;34;6
Ariquemes;110002;47;936;1070;1471;1376;1276;1000;381;160
Buritis;110045;1;82;74;85;80;81;63;18;3
Cabixi;110003;0;11;30;19;29;40;21;4;3
Cacaulândia;110060;0;28;24;44;30;29;22;5;2
Cacoal;110004;62;913;962;1308;1098;1148;1039;395;166
Campo Novo de Rondônia;110070;0;6;10;6;10;10;8;0;0
Candeias do Jamari;110080;3;103;106;171;138;89;55;37;10
Castanheiras;110090;0;8;6;8;5;8;6;0;1
Cerejeiras;110005;7;74;117;98;121;115;104;35;19
Chupinguaia;110092;0;13;13;25;24;24;12;3;4
Colorado do Oeste;110006;8;156;144;225;174;221;155;51;22
Corumbiara;110007;2;13;22;14;19;22;12;2;1
Costa Marques;110008;1;34;55;35;40;70;59;23;8
Cujubim;110094;0;29;35;36;39;37;22;7;1
Espigão D'Oeste;110009;13;217;211;256;242;298;248;79;29
Governador Jorge Teixeira;110100;0;15;18;14;6;18;10;2;0
Guajará-Mirim;110010;52;352;382;356;376;415;447;271;117
Itapuã do Oeste;110110;8;484;322;970;717;398;221;51;21
Jaru;110011;7;358;426;535;471;520;383;131;39
Ji-Paraná;110012;126;1830;1641;2072;2031;1947;1732;702;303
Machadinho D'Oeste;110013;0;81;101;81;114;123;95;25;5
Ministro Andreazza;110120;0;16;11;20;7;19;10;2;0
Mirante da Serra;110130;1;39;55;34;47;55;33;14;2
Monte Negro;110140;1;22;29;25;30;30;30;12;0
Nova Brasilândia D'Oeste;110014;3;50;64;62;66;79;52;12;3
Nova Mamoré;110033;0;31;39;32;42;54;43;16;4
Nova União;110143;0;22;16;10;14;14;12;0;4
Novo Horizonte do Oeste;110050;1;8;20;18;15;20;19;5;0
Ouro Preto do Oeste;110015;31;401;386;414;441;520;502;226;84
Parecis;110145;1;5;6;12;7;10;13;2;0
Pimenta Bueno;110018;27;331;355;531;407;477;481;177;60
Pimenteiras do Oeste;110146;0;6;10;1;8;8;7;1;0
Porto Velho;110020;1246;11808;11866;21441;17695;13974;10678;4577;2254
Presidente Médici;110025;4;191;264;156;217;262;233;85;18
Primavera de Rondônia;110147;0;10;4;10;10;10;15;1;0
Rio Crespo;110026;0;13;25;14;21;17;11;1;2
Rolim de Moura;110028;12;332;366;494;533;462;369;137;39
Santa Luzia D'Oeste;110029;1;40;42;24;43;65;34;8;2
São Felipe D'Oeste;110148;0;10;14;8;10;18;12;4;0
São Francisco do Guaporé;110149;1;19;19;39;28;30;22;7;3
São Miguel do Guaporé;110032;3;53;50;59;74;52;40;16;7
Seringueiras;110150;1;23;23;23;33;32;14;5;2
Teixeirópolis;110155;0;13;12;9;13;19;5;1;0
Theobroma;110160;0;14;27;17;31;28;19;7;2
Urupá;110170;0;49;53;47;40;48;46;8;3
Vale do Anari;110175;0;14;16;9;9;15;13;6;0
Vale do Paraíso;110180;2;18;25;14;18;22;14;7;0
Vilhena;110030;78;1220;1130;1694;1519;1384;1173;518;210
Município ignorado - RO;110000;0;15;22;12;21;31;30;6;3
Acrelândia;120001;4;40;25;45;34;31;21;5;1
Assis Brasil;120005;0;13;11;9;14;13;6;0;1
Brasiléia;120010;1;22;30;32;35;27;35;19;3
Bujari;120013;0;17;11;9;9;4;2;7;0
Capixaba;120017;0;6;5;8;3;5;3;2;0
Cruzeiro do Sul;120020;7;106;128;180;154;150;88;75;26
Epitaciolândia;120025;0;12;9;16;20;12;7;8;0
Feijó;120030;1;25;30;28;31;22;18;9;3
Jordão;120032;497;2;13;74;234;596;833;712;966
Mâncio Lima;120033;0;6;10;7;8;5;1;0;1
