Nome;Codigo;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Menor que 1 a 9 anos;10 a 19 anos
ALTA FLORESTA D'OESTE;110001;4235;3613;3238;2039;1211;680;169;3961;4923
ARIQUEMES;110002;17901;14999;11762;7080;3772;1842;642;15966;18783
CABIXI;110003;942;893;856;664;365;208;55;984;1165
CACOAL;110004;14918;12806;10580;6808;3665;2055;818;12200;15480
CEREJEIRAS;110005;2939;2543;2372;1450;976;514;174;2564;3320
COLORADO DO OESTE;110006;3180;2772;2362;1729;1119;634;233;2703;3361
CORUMBIARA;110007;1430;1364;1136;756;415;220;73;1333;1803
COSTA MARQUES;110008;2530;2148;1485;1001;555;244;86;3076;3230
ESPIGAO D'OESTE;110009;5380;4753;3642;2464;1400;689;243;4928;5690
GUAJARA-MIRIM;110010;7438;6329;4765;2851;1754;918;450;8697;9000
JARU;110011;10055;8342;6224;4069;2351;1370;511;8653;10190
JI-PARANA;110012;22935;19020;15445;9999;5179;2725;1075;19244;22470
MACHADINHO D'OESTE;110013;5682;4953;3809;2709;1407;621;160;6261;6801
NOVA BRASILANDIA D'OESTE;110014;3428;3222;2414;1699;1046;512;149;3172;4249
OURO PRETO DO OESTE;110015;7098;5740;4972;3099;1889;1044;394;5961;7285
PIMENTA BUENO;110018;6605;5320;4467;2852;1563;735;304;5582;6707
PORTO VELHO;110020;93851;73439;55578;34053;15387;6779;2786;74538;86290
PRESIDENTE MEDICI;110025;3649;3157;2900;2166;1263;718;300;3337;4219
RIO CRESPO;110026;562;502;463;284;179;107;31;602;644
ROLIM DE MOURA;110028;9901;8308;6548;4167;2398;1312;488;8149;9871
SANTA LUZIA D'OESTE;110029;1425;1305;1210;778;456;260;104;1268;1670
VILHENA;110030;15732;13096;10405;6272;3346;1642;486;13502;15135
SAO MIGUEL DO GUAPORE;110032;3936;3432;2633;1702;981;477;104;3937;4725
NOVA MAMORE;110033;4158;3727;2710;1714;883;405;151;4957;5014
ALVORADA D'OESTE;110034;2734;2442;2116;1533;841;468;162;2715;3393
ALTO ALEGRE DOS PARECIS;110037;2122;2021;1557;1000;622;266;76;2397;2772
ALTO PARAISO;110040;2887;2824;2198;1447;859;390;107;3267;3763
BURITIS;110045;6224;5395;3787;2485;1333;542;154;6488;6989
NOVO HORIZONTE DO OESTE;110050;1539;1567;1324;919;579;303;88;1559;2055
CACAULANDIA;110060;955;897;696;507;303;163;38;1061;1171
CAMPO NOVO DE RONDONIA;110070;2198;1955;1559;1082;500;212;56;2577;2708
CANDEIAS DO JAMARI;110080;3753;3082;2338;1649;894;350;146;4210;4365
CASTANHEIRAS;110090;530;536;463;313;253;111;34;526;713
CHUPINGUAIA;110092;1600;1428;1053;616;333;132;32;1686;1841
CUJUBIM;110094;3109;2743;1957;1237;594;218;42;3633;3729
GOVERNADOR JORGE TEIXEIRA;110100;1689;1468;1271;861;533;257;93;1743;2125
ITAPUA DO OESTE;110110;1389;1311;1015;760;436;178;56;1738;1947
MINISTRO ANDREAZZA;110120;1679;1593;1251;803;503;281;87;1781;2225
MIRANTE DA SERRA;110130;1987;1783;1331;998;584;382;135;2038;2448
MONTE NEGRO;110140;2378;2181;1662;1178;715;369;94;2690;3046
NOVA UNIAO;110143;1198;1144;889;613;361;172;62;1248;1695
PARECIS;110145;902;716;638;399;230;101;27;934;1043
PIMENTEIRAS DO OESTE;110146;349;371;281;181;125;41;21;453;461
PRIMAVERA DE RONDONIA;110147;535;512;459;323;193;102;47;530;705
SAO FELIPE D'OESTE;110148;929;930;786;589;372;188;59;887;1122
SAO FRANCISCO DO GUAPORE;110149;2953;2653;1903;1245;696;295;85;3208;3598
SERINGUEIRAS;110150;1962;1782;1432;964;457;263;68;2109;2582
TEIXEIROPOLIS;110155;820;677;649;380;296;165;72;724;995
THEOBROMA;110160;1694;1643;1298;958;549;284;77;1852;2220
URUPA;110170;2239;1905;1473;1227;726;332;114;2094;2577
VALE DO ANARI;110175;1580;1423;1166;880;494;236;60;1779;2015
VALE DO PARAISO;110180;1324;1202;1040;730;426;216;74;1249;1700
ACRELANDIA;120001;2131;1869;1378;932;553;258;75;2773;3042
ASSIS BRASIL;120005;1141;868;568;390;222;111;59;1553;1396
BRASILEIA;120010;3943;3340;2355;1494;932;522;217;4531;4927
BUJARI;120013;1456;1269;841;680;422;139;86;1903;1986
CAPIXABA;120017;1378;1296;1008;672;419;173;64;2108;2250
CRUZEIRO DO SUL;120020;15193;11023;6568;4454;2834;1514;774;18345;19114
EPITACIOLANDIA;120025;2837;2307;1683;1024;661;363;158;3201;3445
FEIJO;120030;5636;3918;2617;1528;1097;498;249;8915;8102
JORDAO;120032;1145;752;411;226;94;53;41;2347;1829
MANCIO LIMA;120033;2881;2065;1216;892;547;274;125;3995;3895
MANOEL URBANO;120034;1409;1059;645;450;239;159;63;2156;2044
MARECHAL THAUMATURGO;120035;2594;1587;910;531;304;162;49;4844;4142
PLACIDO DE CASTRO;120038;2805;2392;1840;1271;788;425;173;3905;3988
PORTO WALTER;120039;1537;1089;590;387;188;96;53;3219;2552
RIO BRANCO;120040;70254;56199;38328;24324;12820;6400;3193;64711;72125
