Nome,Qtd empresas,Estado,Codigo
Sao Paulo,8488,SP,355030
Rio De Janeiro,1948,RJ,330455
Brasilia,1881,DF,530010
Curitiba,1641,PR,410690
Belo Horizonte,1051,MG,310620
Porto Alegre,987,RS,431490
Salvador,829,BA,292740
Campinas,645,SP,350950
Fortaleza,599,CE,230440
Recife,570,PE,261160
Ribeirao Preto,549,SP,354340
Santo Andre,496,SP,354780
Goiania,458,GO,520870
Cuiaba,447,MT,510340
Guarulhos,422,SP,351880
Sao Bernardo Do Campo,412,SP,354870
Florianopolis,403,SC,420540
Sorocaba,370,SP,355220
Sao Jose Dos Campos,312,SP,354990
Vitoria,307,ES,320530
Niteroi,292,RJ,330330
Sao Luis,287,MA,211130
Maringa,279,PR,411520
Teresina,276,PI,221100
Osasco,274,SP,353440
Uberlandia,262,MG,317020
Londrina,259,PR,411370
Manaus,241,AM,130260
Santos,238,SP,354850
Joao Pessoa,237,PB,250750
Mogi Das Cruzes,236,SP,353060
Jundiai,235,SP,352590
Natal,234,RN,240810
Campo Grande,227,MS,500270
Barueri,211,SP,350570
Aracaju,197,SE,280030
Sao Jose Do Rio Preto,170,SP,354980
Ponta Grossa,166,PR,411990
Sao Caetano Do Sul,163,SP,354880
Vila Velha,161,ES,320520
Maceio,158,AL,270430
Feira De Santana,150,BA,291080
Cascavel,147,PR,410480
Serra,132,ES,320500
Joinville,130,SC,420910
Belem,128,PA,150140
Bauru,124,SP,350600
Juiz De Fora,124,MG,313670
Lauro De Freitas,112,BA,291920
Maua,109,SP,352940
Suzano,103,SP,355250
Sao Carlos,101,SP,354890
Palmas,101,TO,172100
Rondonopolis,101,MT,510760
Montes Claros,101,MG,314330
Americana,101,SP,350160
Foz Do Iguacu,97,PR,410830
Presidente Prudente,97,SP,354140
Cotia,96,SP,351300
Ipatinga,96,MG,313130
Caxias Do Sul,95,RS,430510
Atibaia,94,SP,350410
Diadema,91,SP,351380
Canoas,89,RS,430460
Chapeco,87,SC,420420
Braganca Paulista,86,SP,350760
Sao Jose Dos Pinhais,86,PR,412550
Piracicaba,85,SP,353870
Sao Jose,85,SC,421660
Contagem,84,MG,311860
Taboao Da Serra,84,SP,355280
Blumenau,83,SC,420240
Taubate,82,SP,355410
Limeira,82,SP,352690
Marilia,82,SP,352900
Indaiatuba,81,SP,352050
Porto Velho,80,RO,110020
Petrolina,80,PE,261110
Itajai,79,SC,420820
Franca,78,SP,351620
Jacarei,78,SP,352440
Uberaba,77,MG,317010
Novo Hamburgo,76,RS,431340
Pocos De Caldas,76,MG,315180
Itabuna,76,BA,291480
Cariacica,76,ES,320130
Assis,75,SP,350400
Araraquara,73,SP,350320
Campina Grande,73,PB,250400
Nova Iguacu,70,RJ,330350
Aracatuba,69,SP,350280
Praia Grande,68,SP,354100
Valinhos,66,SP,355620
Dourados,66,MS,500370
Varzea Grande,66,MT,510840
Vitoria Da Conquista,65,BA,293330
Sao Goncalo,63,RJ,330490
Macapa,63,AP,160030
Boa Vista,63,RR,140010
Duque De Caxias,62,RJ,330170
Criciuma,62,SC,420460
Rio Branco,62,AC,120040
Passo Fundo,61,RS,431410
Itajuba,61,MG,313240
Anapolis,60,GO,520110
Pelotas,59,RS,431440
Mossoro,58,RN,240800
Rio Claro,58,SP,354390
Fernandopolis,58,SP,351550
Jaboatao Dos Guararapes,57,PE,260790
Santana De Parnaiba,57,SP,354730
Olinda,57,PE,260960
Petropolis,56,RJ,330390
Toledo,56,PR,412770
Guarapuava,55,PR,410940
Campos Dos Goytacazes,53,RJ,330100
Balneario Camboriu,53,SC,420200
Sertaozinho,53,SP,355170
Carapicuiba,53,SP,351060
Volta Redonda,52,RJ,330630
Ourinhos,52,SP,353470
Caruaru,52,PE,260410
Divinopolis,52,MG,312230
Palhoca,51,SC,421190
Sumare,51,SP,355240
Governador Valadares,49,MG,312770
Sinop,49,MT,510790
Catanduva,47,SP,351110
Jaragua Do Sul,47,SC,420890
Catalao,47,GO,520510
Francisco Beltrao,47,PR,410840
Apucarana,47,PR,410140
Guaratingueta,46,SP,351840
Erechim,46,RS,430700
Campo Mourao,46,PR,410430
Santa Maria,46,RS,431690
Lavras,45,MG,313820
Itaquaquecetuba,45,SP,352310
Betim,45,MG,310670
Sao Leopoldo,44,RS,431870
Lages,44,SC,420930
Lins,44,SP,352710
Macae,44,RJ,330240
Umuarama,43,PR,412810
Andradina,42,SP,350210
Itu,42,SP,352390
Vinhedo,42,SP,355670
Mococa,41,SP,353050
Guaruja,41,SP,351870
Conselheiro Lafaiete,40,MG,311830
Vicosa,39,MG,317130
Sorriso,38,MT,510792
Rio Grande,38,RS,431560
Nova Friburgo,37,RJ,330340
Ilha Solteira,37,SP,352044
Aparecida De Goiania,37,GO,520140
Botucatu,37,SP,350750
Varginha,37,MG,317070
Sete Lagoas,37,MG,316720
Tupa,36,SP,355500
Pouso Alegre,35,MG,315250
Parnamirim,35,RN,240325
Paulinia,35,SP,353650
Mogi-Guacu,35,SP,
Sao Vicente,35,SP,355100
Resende,34,RJ,330420
Patos De Minas,34,MG,314800
Sao Jose Do Rio Pardo,34,SP,354970
Rio Verde,34,GO,521880
Primavera Do Leste,33,MT,510704
Araucaria,33,PR,410180
Cianorte,33,PR,410550
Paranavai,32,PR,411840
Arapongas,32,PR,410150
